s1,s2,s3,s4,Dr/(CR),s5
101.0,1037.0,143.0,13078.0,0.29,23993
101.0,1037.0,145.0,13033.0,-0.44,23993
101.0,1037.0,145.0,13095.0,-0.02,23993
101.0,1037.0,145.0,13179.0,0.02,23993
101.0,1037.0,147.0,13078.0,30.59,23993
101.0,1037.0,178.0,13309.0,0.13,23993
101.0,1039.0,0.0,10688.0,-0.39,23993
101.0,1039.0,127.0,99150.0,-0.3,23993
101.0,1039.0,133.0,10688.0,0.39,23993
101.0,1039.0,150.0,99150.0,0.3,23993
101.0,1039.0,170.0,10675.0,135277.15,23993
101.0,1039.0,195.0,10688.0,0.0033159999895815417,23993
101.0,1042.0,0.0,10693.0,0.38,23993
101.0,1042.0,0.0,10698.0,0.12,23993
101.0,1042.0,0.0,10701.0,0.29,23993
101.0,1042.0,0.0,10702.0,0.22,23993
101.0,1042.0,0.0,10705.0,-0.39,23993
101.0,1042.0,0.0,10711.0,-0.22,23993
101.0,1042.0,0.0,10721.0,-0.17,23993
101.0,1042.0,102.0,10693.0,-0.38,23993
101.0,1042.0,103.0,10721.0,0.17,23993
101.0,1042.0,105.0,10698.0,-0.12,23993
101.0,1042.0,125.0,10701.0,-0.29,23993
101.0,1042.0,127.0,10693.0,13913.436149999994,23993
101.0,1042.0,139.0,10711.0,0.22,23993
101.0,1042.0,143.0,10705.0,0.39,23993
101.0,1042.0,170.0,10700.0,112192.65,23993
101.0,1042.0,195.0,10694.0,-0.0007560000011608281,23993
101.0,1042.0,296.0,10692.0,0.0023999999975785613,23993
101.0,1045.0,0.0,10723.0,0.22,23993
101.0,1045.0,0.0,10724.0,-0.04,23993
101.0,1045.0,153.0,10723.0,-0.22,23993
101.0,1052.0,170.0,10739.0,115563.08,23993
101.0,1068.0,321.0,13863.0,93.0099999999999,23993
101.0,1301.0,0.0,13305.0,0.32,23993
101.0,1301.0,117.0,13328.0,-0.2565,23993
101.0,1301.0,127.0,10754.0,16723.449250000005,23993
101.0,1301.0,127.0,13331.0,0.010600000012805685,23993
101.0,1303.0,117.0,13087.0,30.99055,23993
101.0,1303.0,127.0,13005.0,0.0568,23993
101.0,1303.0,147.0,13078.0,-30.590999999999998,23993
101.0,1304.0,117.0,13035.0,-0.01095,23993
101.0,1304.0,127.0,13185.0,0.5245499999999899,23993
101.0,1307.0,0.0,13254.0,-0.43,23993
101.0,1307.0,111.0,13254.0,0.43,23993
101.0,1307.0,116.0,13250.0,0.0040999999999999995,23993
101.0,1307.0,117.0,13251.0,-0.13054999999999994,23993
101.0,1307.0,127.0,13152.0,0.0625,23993
101.0,1309.0,0.0,10011.0,-0.03,23993
101.0,1309.0,0.0,10105.0,-0.03,23993
101.0,1309.0,0.0,10160.0,0.07,23993
101.0,1309.0,0.0,10738.0,-0.09,23993
101.0,1309.0,0.0,10744.0,0.29,23993
101.0,1309.0,0.0,13119.0,-0.49,23993
101.0,1309.0,0.0,13120.0,0.01,23993
101.0,1309.0,0.0,13140.0,0.39,23993
101.0,1309.0,0.0,13329.0,-0.14,23993
101.0,1309.0,0.0,13331.0,-0.17,23993
101.0,1309.0,0.0,13609.0,-0.35,23993
101.0,1309.0,0.0,13624.0,0.39,23993
101.0,1309.0,0.0,13645.0,-0.49,23993
101.0,1309.0,0.0,13648.0,-0.1,23993
101.0,1309.0,0.0,13669.0,0.28,23993
101.0,1309.0,0.0,13819.0,0.26,23993
101.0,1309.0,0.0,14001.0,-0.11,23993
101.0,1309.0,0.0,17025.0,0.2,23993
101.0,1309.0,0.0,17038.0,0.41,23993
101.0,1309.0,0.0,99103.0,-0.44,23993
101.0,1309.0,0.0,99127.0,0.44,23993
101.0,1309.0,0.0,99224.0,0.21,23993
101.0,1309.0,102.0,10738.0,0.09,23993
101.0,1309.0,102.0,99103.0,0.44,23993
101.0,1309.0,102.0,99224.0,-0.21,23993
101.0,1309.0,103.0,14001.0,0.11,23993
101.0,1309.0,110.0,13609.0,0.35,23993
101.0,1309.0,115.0,99127.0,-0.44,23993
101.0,1309.0,116.0,13120.0,-0.01,23993
101.0,1309.0,120.0,99170.0,-0.12,23993
101.0,1309.0,125.0,10011.0,0.03,23993
101.0,1309.0,125.0,10105.0,0.03,23993
101.0,1309.0,125.0,13624.0,-0.39,23993
101.0,1309.0,127.0,13331.0,0.17,23993
101.0,1309.0,127.0,13819.0,-0.26,23993
101.0,1309.0,128.0,17025.0,-0.2,23993
101.0,1309.0,133.0,13119.0,0.49,23993
101.0,1309.0,133.0,13669.0,-0.28,23993
101.0,1309.0,133.0,17038.0,-0.41,23993
101.0,1309.0,145.0,13645.0,0.49,23993
101.0,1309.0,147.0,10160.0,-0.07,23993
101.0,1309.0,147.0,13329.0,0.14,23993
101.0,1309.0,147.0,13648.0,0.1,23993
101.0,1309.0,153.0,13140.0,-0.39,23993
101.0,1309.0,308.0,10744.0,-0.29,23993
101.0,1401.0,0.0,14300.0,-0.41,23993
101.0,1401.0,103.0,14300.0,0.41,23993
101.0,1402.0,0.0,14074.0,-0.49,23993
101.0,1402.0,103.0,14074.0,0.49,23993
101.0,1405.0,0.0,14025.0,-0.36,23993
101.0,1405.0,0.0,14028.0,0.44,23993
101.0,1405.0,0.0,14030.0,-0.33,23993
101.0,1405.0,0.0,14095.0,-0.01,23993
101.0,1405.0,0.0,14144.0,-0.07,23993
101.0,1405.0,0.0,14146.0,0.36,23993
101.0,1405.0,0.0,14148.0,0.16,23993
101.0,1405.0,0.0,14187.0,0.35,23993
101.0,1405.0,0.0,14257.0,-0.22,23993
101.0,1405.0,0.0,14281.0,-0.19,23993
101.0,1405.0,103.0,14025.0,0.36,23993
101.0,1405.0,103.0,14144.0,0.07,23993
101.0,1405.0,113.0,14148.0,-0.16,23993
101.0,1405.0,125.0,14257.0,0.22,23993
101.0,1405.0,128.0,14030.0,0.33,23993
101.0,1405.0,133.0,14187.0,-0.35,23993
101.0,1405.0,133.0,14281.0,0.19,23993
101.0,1405.0,147.0,14095.0,0.010425999998972202,23993
101.0,1405.0,167.0,14146.0,-0.36,23993
101.0,1405.0,195.0,14281.0,-0.00019200000019736763,23993
101.0,1405.0,321.0,13856.0,679.140000000006,23993
101.0,1409.0,0.0,14134.0,-0.22,23993
101.0,1409.0,0.0,14135.0,-0.3,23993
101.0,1409.0,0.0,14201.0,-0.39,23993
101.0,1409.0,102.0,14135.0,0.3,23993
101.0,1409.0,105.0,99159.0,-0.24,23993
101.0,1409.0,116.0,14201.0,0.39,23993
101.0,1409.0,127.0,14135.0,34141.36209999997,23993
101.0,1409.0,139.0,14134.0,0.22,23993
101.0,1409.0,159.0,99159.0,0.24,23993
101.0,1409.0,170.0,14206.0,167451.79,23993
101.0,1410.0,0.0,14053.0,-0.06,23993
101.0,1410.0,0.0,14136.0,-0.39,23993
101.0,1410.0,0.0,14137.0,-0.4,23993
101.0,1410.0,0.0,14185.0,-0.43,23993
101.0,1410.0,103.0,14053.0,0.06,23993
101.0,1410.0,103.0,14137.0,0.4,23993
101.0,1410.0,105.0,14185.0,0.43,23993
101.0,1410.0,127.0,14185.0,0.27125,23993
101.0,1410.0,145.0,14136.0,0.39,23993
101.0,1410.0,170.0,14343.0,127814.48,23993
101.0,1410.0,195.0,14344.0,-0.008404000010159507,23993
101.0,1411.0,0.0,14102.0,0.21,23993
101.0,1411.0,103.0,14102.0,-0.21,23993
101.0,1412.0,0.0,14104.0,0.21,23993
101.0,1412.0,0.0,14318.0,-0.12,23993
101.0,1412.0,103.0,14104.0,-0.21,23993
101.0,1412.0,103.0,14318.0,0.12,23993
101.0,1414.0,0.0,14153.0,-0.07,23993
101.0,1414.0,0.0,14157.0,0.28,23993
101.0,1414.0,0.0,14166.0,0.09,23993
101.0,1414.0,0.0,14168.0,0.43,23993
101.0,1414.0,0.0,14170.0,0.38,23993
101.0,1414.0,0.0,14172.0,-0.06,23993
101.0,1414.0,0.0,14176.0,-0.24,23993
101.0,1414.0,103.0,14153.0,0.07,23993
101.0,1414.0,103.0,14172.0,0.06,23993
101.0,1414.0,125.0,14166.0,-0.09,23993
101.0,1414.0,139.0,14170.0,-0.38,23993
101.0,1414.0,143.0,14157.0,-0.28,23993
101.0,1414.0,147.0,14157.0,0.003215999998985808,23993
101.0,1414.0,167.0,14168.0,-0.43,23993
101.0,1414.0,195.0,14337.0,0.0019839999999931024,23993
101.0,1422.0,0.0,14210.0,-0.3,23993
101.0,1422.0,0.0,14211.0,0.02,23993
101.0,1422.0,0.0,14218.0,0.28,23993
101.0,1422.0,0.0,14223.0,-0.45,23993
101.0,1422.0,0.0,14252.0,-0.13,23993
101.0,1422.0,0.0,14256.0,0.33,23993
101.0,1422.0,0.0,14261.0,-0.35,23993
101.0,1422.0,0.0,14289.0,-0.08,23993
101.0,1422.0,103.0,14252.0,0.13,23993
101.0,1422.0,103.0,14256.0,-0.33,23993
101.0,1422.0,116.0,14223.0,0.45,23993
101.0,1422.0,125.0,14261.0,0.35,23993
101.0,1422.0,133.0,14289.0,0.08,23993
101.0,1422.0,139.0,14210.0,0.3,23993
101.0,1422.0,139.0,14211.0,-0.02,23993
101.0,1422.0,147.0,14210.0,0.013467999998994173,23993
101.0,1422.0,170.0,14265.0,179341.5,23993
101.0,1422.0,195.0,14289.0,-0.0029039999999440624,23993
101.0,1701.0,0.0,17491.0,0.34,23993
101.0,1701.0,105.0,17110.0,-0.3,23993
101.0,1701.0,113.0,17110.0,0.3,23993
101.0,1701.0,137.0,17491.0,-0.34,23993
101.0,1702.0,0.0,17002.0,0.49,23993
101.0,1702.0,0.0,17344.0,-0.37,23993
101.0,1702.0,0.0,17483.0,0.04,23993
101.0,1702.0,103.0,17002.0,-0.49,23993
101.0,1702.0,103.0,17344.0,0.37,23993
101.0,1702.0,127.0,17483.0,-0.04,23993
