s1,s2,s3,s4,Dr/(CR),s5
105.0,9901.0,111.0,13709.0,64129.72,63002
105.0,9901.0,111.0,13862.0,3591.1226500000002,63002
106.0,1006.0,159.0,10471.0,50429.248515,63002
106.0,1008.0,159.0,10510.0,72925.5784632,63002
106.0,1021.0,159.0,10470.0,71269.1842306,63002
106.0,1022.0,159.0,10498.0,55924.804425,63002
106.0,1025.0,159.0,10490.0,67765.10512600001,63002
106.0,1042.0,159.0,10703.0,29764.4068082,63002
106.0,1045.0,159.0,10727.0,66809.383813,63002
106.0,1068.0,159.0,13863.0,54.395999999999994,63002
106.0,1410.0,159.0,14346.0,77945.8942054,63002
106.0,1422.0,159.0,14222.0,39976.6162714,63002
106.0,1707.0,159.0,17510.0,39633.150324,63002
106.0,1711.0,159.0,17499.0,62703.25299,63002
106.0,1712.0,159.0,17478.0,41104.9541064,63002
106.0,1717.0,159.0,17513.0,55471.56215860001,63002
106.0,1729.0,159.0,17504.0,45478.4737348,63002
106.0,1730.0,159.0,17787.0,36349.707816400005,63002
106.0,1732.0,159.0,17520.0,43174.408246000006,63002
106.0,1734.0,159.0,17481.0,89188.71973319999,63002
106.0,1738.0,159.0,17659.0,28270.62283,63002
106.0,1756.0,159.0,17735.0,40031.028883599996,63002
106.0,1757.0,159.0,17770.0,40616.464326199995,63002
106.0,9901.0,159.0,13773.0,857500.4395,63002
106.0,9901.0,159.0,13780.0,196843.407735,63002
106.0,9901.0,159.0,13862.0,939560.211405,63002
106.0,9901.0,159.0,99159.0,-852.8327539999999,63002
107.0,1001.0,143.0,10186.0,1.389,63002
107.0,1002.0,143.0,10418.0,5844.9434,63002
107.0,1004.0,143.0,10191.0,6872.983800000001,63002
107.0,1005.0,143.0,10190.0,7080.1878,63002
107.0,1006.0,143.0,10189.0,8913.096000000001,63002
107.0,1006.0,181.0,10208.0,19.635,63002
107.0,1008.0,143.0,10187.0,13015.7534,63002
107.0,1008.0,181.0,10206.0,11.22,63002
107.0,1009.0,143.0,10243.0,11802.088000000002,63002
107.0,1009.0,181.0,10233.0,215.985,63002
107.0,1012.0,143.0,10192.0,13109.983,63002
107.0,1012.0,181.0,10211.0,2.805,63002
107.0,1013.0,143.0,10188.0,8503.427800000001,63002
107.0,1013.0,181.0,10207.0,50.49,63002
107.0,1021.0,181.0,10281.0,465.63000000000005,63002
107.0,1022.0,143.0,10376.0,6462.7065999999995,63002
107.0,1025.0,143.0,10451.0,7587.1198,63002
107.0,1025.0,179.0,13858.0,886.25875,63002
107.0,1025.0,181.0,10444.0,182.32500000000002,63002
107.0,1025.0,183.0,13858.0,499.01805,63002
107.0,1026.0,181.0,10213.0,25.245,63002
107.0,1037.0,181.0,13243.0,11.22,63002
107.0,1042.0,143.0,10710.0,6670.2446,63002
107.0,1042.0,181.0,10708.0,61.71000000000001,63002
107.0,1045.0,143.0,10726.0,5308.808399999999,63002
107.0,1070.0,143.0,13370.0,-35.916,63002
107.0,1307.0,305.0,13298.0,10060.098,63002
107.0,1405.0,143.0,10219.0,16116.9562,63002
107.0,1405.0,181.0,10222.0,67.32,63002
107.0,1410.0,143.0,14349.0,4672.043600000001,63002
107.0,1412.0,143.0,14122.0,5528.3274,63002
107.0,1414.0,143.0,14173.0,3748.7019999999993,63002
107.0,1416.0,143.0,14184.0,5726.6777999999995,63002
107.0,1417.0,143.0,14119.0,6485.098599999999,63002
107.0,1422.0,143.0,14307.0,9465.331600000001,63002
107.0,1422.0,181.0,14304.0,8.415,63002
107.0,1704.0,143.0,17204.0,10671.615000000002,63002
107.0,1704.0,181.0,17233.0,86.955,63002
107.0,1706.0,143.0,17299.0,8625.572,63002
107.0,1707.0,143.0,17205.0,4462.0622,63002
107.0,1711.0,143.0,17331.0,12942.8516,63002
107.0,1711.0,143.0,17815.0,14.495999999999999,63002
107.0,1711.0,181.0,17241.0,103.785,63002
107.0,1712.0,143.0,17207.0,14101.6358,63002
107.0,1712.0,179.0,13859.0,413.6616,63002
107.0,1712.0,181.0,17236.0,53.294999999999995,63002
107.0,1712.0,183.0,13859.0,247.78549999999998,63002
107.0,1715.0,143.0,17291.0,5681.3618,63002
107.0,1717.0,181.0,17246.0,14.025,63002
107.0,1721.0,143.0,17209.0,7735.790600000001,63002
107.0,1729.0,143.0,17300.0,8018.098,63002
107.0,1730.0,143.0,17214.0,5975.036,63002
107.0,1731.0,143.0,17354.0,5955.076400000001,63002
107.0,1732.0,143.0,17395.0,12583.782200000001,63002
107.0,1732.0,179.0,13857.0,5964.927299999999,63002
107.0,1732.0,181.0,17390.0,129.03,63002
107.0,1732.0,183.0,13857.0,4380.32205,63002
107.0,1734.0,143.0,17462.0,9157.8324,63002
107.0,1734.0,181.0,17443.0,148.665,63002
107.0,1736.0,143.0,17783.0,12644.068,63002
107.0,1737.0,143.0,17495.0,10701.3564,63002
107.0,1737.0,181.0,17496.0,95.37,63002
107.0,1738.0,143.0,10519.0,9807.159,63002
107.0,1756.0,143.0,17737.0,9367.451799999999,63002
107.0,1756.0,181.0,17755.0,179.52,63002
107.0,1757.0,143.0,17769.0,4431.757600000001,63002
107.0,9901.0,143.0,10761.0,520.4568,63002
107.0,9901.0,143.0,13767.0,957439.06341,63002
107.0,9901.0,143.0,13777.0,274287.1097,63002
107.0,9901.0,143.0,13786.0,-637835.8502849999,63002
107.0,9901.0,143.0,13862.0,1104884.59323,63002
107.0,9901.0,175.0,13621.0,33.77985,63002
107.0,9901.0,179.0,13629.0,-16780.823859999997,63002
107.0,9901.0,179.0,13728.0,26255.5615,63002
107.0,9901.0,179.0,13794.0,41851.9521,63002
107.0,9901.0,179.0,13862.0,675835.5644,63002
107.0,9901.0,183.0,13640.0,-1318.683,63002
107.0,9901.0,183.0,13741.0,38810.788799999995,63002
107.0,9901.0,183.0,13794.0,36874.04225,63002
107.0,9901.0,183.0,13862.0,733359.16165,63002
101.0,1004.0,127.0,10272.0,-90198.74765,23993
101.0,1006.0,127.0,10674.0,-277630.2493,23993
101.0,1008.0,147.0,10225.0,-620.024442,23993
101.0,1009.0,147.0,10167.0,-612.554514,23993
101.0,1012.0,147.0,10153.0,-481.543794,23993
101.0,1012.0,169.0,10124.0,0.00235,23993
101.0,1013.0,147.0,10531.0,-2575.219242,23993
101.0,1021.0,127.0,10377.0,-135.1663,23993
101.0,1021.0,127.0,10747.0,-24858.320999999996,23993
101.0,1021.0,127.0,10748.0,-5631.27415,23993
101.0,1021.0,147.0,10323.0,-94.06593,23993
101.0,1021.0,195.0,10552.0,-3356.3329320000003,23993
101.0,1022.0,147.0,10327.0,-355.337136,23993
101.0,1024.0,147.0,10447.0,-1350.16137,23993
101.0,1025.0,116.0,13858.0,-606.18985,23993
101.0,1025.0,127.0,10449.0,-264202.38595,23993
101.0,1025.0,145.0,13858.0,-2952.31275,23993
101.0,1025.0,147.0,10426.0,-1164.84549,23993
101.0,1025.0,195.0,10689.0,-235.423404,23993
101.0,1025.0,296.0,10691.0,-115540.422,23993
101.0,1039.0,195.0,10688.0,-1329.6066840000003,23993
101.0,1042.0,127.0,10693.0,-227518.68385,23993
101.0,1042.0,195.0,10694.0,-839.9107560000001,23993
101.0,1042.0,296.0,10692.0,-193537.16760000002,23993
101.0,1301.0,117.0,13328.0,-0.2565,23993
101.0,1301.0,127.0,10754.0,-255258.67075,23993
101.0,1301.0,127.0,13331.0,0.09059999999999999,23993
101.0,1303.0,117.0,13087.0,30.99055,23993
101.0,1303.0,127.0,13005.0,0.0568,23993
101.0,1303.0,147.0,13078.0,-30.590999999999998,23993
101.0,1304.0,117.0,13035.0,-0.01095,23993
101.0,1304.0,127.0,13185.0,1.63455,23993
101.0,1307.0,116.0,13250.0,0.0040999999999999995,23993
101.0,1307.0,117.0,13251.0,-0.66055,23993
101.0,1307.0,127.0,13152.0,0.0625,23993
101.0,1405.0,147.0,14095.0,-203.75957400000001,23993
101.0,1405.0,195.0,14281.0,-1906.2901920000002,23993
101.0,1409.0,127.0,14135.0,-272313.0079,23993
101.0,1410.0,127.0,14185.0,0.27125,23993
101.0,1410.0,195.0,14344.0,-2763.1184040000003,23993
101.0,1414.0,147.0,14157.0,-377.126784,23993
101.0,1414.0,195.0,14337.0,-3470.618016,23993
101.0,1422.0,147.0,14210.0,-213.836532,23993
101.0,1422.0,195.0,14289.0,-4191.122904,23993
101.0,1706.0,127.0,17312.0,0.7905500000000001,23993
101.0,1707.0,127.0,17336.0,-78186.10535,23993
101.0,1707.0,145.0,17180.0,-141.7732,23993
101.0,1707.0,147.0,17263.0,-150.671916,23993
101.0,1707.0,195.0,17805.0,-2712.39117,23993
101.0,1711.0,127.0,17317.0,-74583.35800000001,23993
101.0,1711.0,147.0,17254.0,-340.22925,23993
101.0,1711.0,195.0,17567.0,-4086.8893860000003,23993
101.0,1712.0,116.0,13859.0,-232.2099,23993
101.0,1712.0,127.0,17268.0,-104215.68755,23993
101.0,1712.0,145.0,13859.0,-913.92955,23993
101.0,1712.0,147.0,17114.0,-89.296392,23993
101.0,1712.0,195.0,17549.0,-7274.093561999999,23993
101.0,1712.0,296.0,17720.0,-361454.5296,23993
101.0,1716.0,127.0,17260.0,-158501.92445,23993
101.0,1716.0,147.0,17163.0,-183.25209,23993
101.0,1717.0,147.0,17252.0,-145.539642,23993
101.0,1717.0,195.0,17557.0,-3274.3784699999997,23993
101.0,1729.0,127.0,17308.0,-114275.46155,23993
101.0,1729.0,147.0,17319.0,-236.076558,23993
101.0,1731.0,147.0,17356.0,-31.152198000000002,23993
101.0,1732.0,116.0,13857.0,-5090.0278,23993
101.0,1732.0,127.0,17379.0,-171320.56005,23993
101.0,1732.0,145.0,13857.0,-1074.29745,23993
101.0,1732.0,147.0,17388.0,-116.37987000000001,23993
101.0,1732.0,195.0,17758.0,-4182.913902,23993
101.0,1734.0,127.0,17453.0,-136520.3145,23993
101.0,1734.0,147.0,17486.0,-105.98664,23993
101.0,1734.0,195.0,17587.0,-3755.585394,23993
101.0,1736.0,147.0,17533.0,-390.91989,23993
101.0,1737.0,127.0,17724.0,-290088.5554,23993
101.0,1738.0,127.0,17749.0,-207874.6686,23993
101.0,1751.0,127.0,17723.0,-117211.992,23993
101.0,1756.0,127.0,17753.0,-89363.35865000001,23993
